Essence;Effect;PenteCl;DepotCl;Estimate;Model;Moyenne;EcartType
PRU;logDhpcm;;;-0.998750435;CANEU;3.104729;0.4204529
PRU;sum_st_ha_Res;;;-0.276647017;CANEU;15.89149;10.70775
PRU;sum_st_ha_Feu;;;-0.21506496;CANEU;16.7336;9.028879
PRU;st_ha_cumul_gt;;;0.260950858;CANEU;21.42921;12.51217
PRU;Coupe0;;;0.767994726;CANEU;;
PRU;QMD;;;0.175030218;CANEU;24.28718;5.245185
PRU;Pente;B;;-0.168711802;CANEU;;
PRU;Pente;E;;0.079526178;CANEU;;
PRU;Pente;F;;0.640146195;CANEU;;
PRU;TMoy;;;0.310536934;CANEU;7.479256;2.202851
PRU;TMoy2;;;0.222930407;CANEU;;
PRU;VPD;;;-0.128597633;CANEU;14.02767;1.591853
PRU;TMoy:VPD;;;-0.192983053;CANEU;;
THO;Intercept;;;-5.995536356;CANEU;;
THO;Dhpcm;;;0.549986696;CANEU;20.33487;7.733777
THO;logDhpcm;;;-0.571121968;CANEU;2.949326;0.3475986
THO;sum_st_ha;;;-0.242175812;CANEU;33.32066;13.36432
THO;st_ha_cumul_gt;;;0.224099618;CANEU;19.40055;12.57831
THO;Coupe0;;;0.557479988;CANEU;;
THO;QMD;;;0.146955749;CANEU;19.02226;4.037287
THO;logPTot;;;0.313046518;CANEU;6.764033;0.1991497
THO;VPD;;;0.132996066;CANEU;13.58368;1.885541
TIL;Intercept;;;-5.351457975;CANEU;;
TIL;Dhpcm;;;1.155856978;CANEU;24.85577;10.28966
TIL;logDhpcm;;;-1.089004301;CANEU;3.134557;0.3931815
TIL;sum_st_ha;;;-0.35505928;CANEU;25.42031;9.125531
TIL;st_ha_cumul_gt;;;0.600428767;CANEU;15.55291;9.674327
TIL;Pente;C;;0.345745612;CANEU;;
TIL;Pente;D;;0.345745612;CANEU;;
TIL;Pente;E;;0.345745612;CANEU;;
TIL;Pente;F;;0.345745612;CANEU;;
TIL;PUtil;;;-0.116948151;CANEU;299.4213;56.57907
BOJ;Intercept;;;-5.034925337;CANEU;;
BOJ;Dhpcm;;;0.421325667;CANEU;22.45928;10.98514
BOJ;logDhpcm;;;-0.305324282;CANEU;3.009026;0.443314
BOJ;sum_st_ha_Res;;;-0.121577947;CANEU;6.231057;7.439016
BOJ;sum_st_ha_Feu;;;-0.02810551;CANEU;18.9161;8.399253
BOJ;st_ha_cumul_gt;;;0.196586873;CANEU;15.96289;10.06077
BOJ;Coupe0;;;0.238414982;CANEU;;
BOJ;Gini;;;-0.007535679;CANEU;0.2181323;0.05235746
BOJ;Shannon;;;-0.074111483;CANEU;1.890607;0.5060755
BOJ;Depot;;MF;0.435512343;CANEU;;
BOJ;PTot;;;-0.070509936;CANEU;1166.597;244.5918
BOJ;DD;;;0.003179889;CANEU;1780.282;305.622
BOJ;DD2;;;0.068875551;CANEU;;
BOJ;PTot:DD;;;-0.106191025;CANEU;;
ERR;Intercept;;;-5.17254612;CANEU;;
ERR;DHPcm;;;0.471121998;CANEU;20.45632;8.675885
ERR;logDHPcm;;;-0.453386746;CANEU;2.942506;0.3788756
ERR;sum_st_ha_Res;;;-0.308731288;CANEU;5.440164;7.530923
ERR;sum_st_ha_Feu;;;-0.261252486;CANEU;19.59138;9.540701
ERR;st_ha_cumul_gt;;;0.408921635;CANEU;17.18098;9.885938
ERR;Coupe0;;;0.507209329;CANEU;;
ERR;QMD;;;0.071269509;CANEU;21.90526;5.482663
ERR;Depot;;RM;-0.292049524;CANEU;;
ERR;Depot;;RS;-0.022840709;CANEU;;
ERR;Depot;;TCMG;-0.15297959;CANEU;;
ERR;TMoy;;;-0.086118176;CANEU;7.955895;3.489309
ERR;TMoy2;;;0.188132184;CANEU;;
ERR;PTot;;;0.098150392;CANEU;1136.56;239.9406
ERR;PTot2;;;-0.033598686;CANEU;;
ERR;TMoy:PTot;;;-0.074369322;CANEU;;
