"","PlacetteID","rcp","Annee","Mois","Tmin","Tmax","PTot"
"86",400202303,"RCP45",1998,2,-13.9321,-3.28214,61.7
"87",400202303,"RCP45",1998,3,-10.6065,-0.477419,115.1
"88",400202303,"RCP45",1998,4,-2.64333,7.84667,43.2
"89",400202303,"RCP45",1998,5,4.9871,16.9774,40.1
"90",400202303,"RCP45",1998,6,8.58667,19.29,110.4
"91",400202303,"RCP45",1998,7,10.8613,21.6742,171.7
"92",400202303,"RCP45",1998,8,9.28065,22.0419,95.1
"93",400202303,"RCP45",1998,9,6.96667,15.09,127.8
"94",400202303,"RCP45",1998,10,1.68065,8.76774,115.4
"95",400202303,"RCP45",1998,11,-5.29333,1.04,96.2
"96",400202303,"RCP45",1998,12,-14.2387,-4.19677,87.7
"97",400202303,"RCP45",1999,1,-21.5323,-9.27419,79.5
"98",400202303,"RCP45",1999,2,-16.6143,-4.71071,42.1
"99",400202303,"RCP45",1999,3,-10.4161,-0.0387097,66.9
"100",400202303,"RCP45",1999,4,-2.86333,7.20667,25.7
"101",400202303,"RCP45",1999,5,4.49032,19.8226,60.6
"102",400202303,"RCP45",1999,6,10.2067,23.0233,85.5
"103",400202303,"RCP45",1999,7,12.2258,22.5419,140.3
"104",400202303,"RCP45",1999,8,10.8387,21.1387,57.5
"105",400202303,"RCP45",1999,9,9.55,19.23,98.4
"106",400202303,"RCP45",1999,10,-0.451613,6.86129,179.5
"107",400202303,"RCP45",1999,11,-4.45,3.43333,95.2
"108",400202303,"RCP45",1999,12,-11.9806,-3.73226,79.7
"109",400202303,"RCP45",2000,1,-21.3645,-11.0871,107.9
"110",400202303,"RCP45",2000,2,-20.1759,-6.97241,68.1
"111",400202303,"RCP45",2000,3,-8.61613,1.44194,72.5
"112",400202303,"RCP45",2000,4,-4.87333,3.80667,116.9
"113",400202303,"RCP45",2000,5,2.39032,13.7516,110.2
"114",400202303,"RCP45",2000,6,6.72667,18.8967,73.9
"115",400202303,"RCP45",2000,7,10.3097,21.8903,95.8
"116",400202303,"RCP45",2000,8,11.129,20.7129,106.3
"117",400202303,"RCP45",2000,9,5.22,14.4633,81.9
"118",400202303,"RCP45",2000,10,0.0451613,8.44839,66.6
"119",400202303,"RCP45",2000,11,-3.32667,1.59333,65
"120",400202303,"RCP45",2000,12,-17.4097,-8.92903,90.7
"121",400202303,"RCP45",2001,1,-19.8,-9.60323,27.4
"122",400202303,"RCP45",2001,2,-20.3,-7.525,89
"123",400202303,"RCP45",2001,3,-13.0935,-2.02258,83.2
"124",400202303,"RCP45",2001,4,-4.32667,6.85667,39.3
"125",400202303,"RCP45",2001,5,4.31613,18.5323,67.8
"126",400202303,"RCP45",2001,6,8.57667,20.68,91
"127",400202303,"RCP45",2001,7,10.8419,22.4516,151.7
"128",400202303,"RCP45",2001,8,11.7258,22.2935,89.9
"129",400202303,"RCP45",2001,9,7.14,17.3533,84.9
"130",400202303,"RCP45",2001,10,1.90968,8.83871,141.4
"131",400202303,"RCP45",2001,11,-4.09667,2.51333,73.4
"132",400202303,"RCP45",2001,12,-8.77742,-2.4,40.8
"133",400202303,"RCP45",2002,1,-18.3516,-8.73871,37.3
"134",400202303,"RCP45",2002,2,-18.475,-7.31786,136.2
"135",400202303,"RCP45",2002,3,-15.2452,-2.83226,57.1
"136",400202303,"RCP45",2002,4,-4.31,5.11333,101.6
"137",400202303,"RCP45",2002,5,0.806452,12.2742,87.1
"138",400202303,"RCP45",2002,6,6.53,18.1267,67.1
"139",400202303,"RCP45",2002,7,11.3742,21.4129,125.2
"140",400202303,"RCP45",2002,8,11.1903,22.4935,52.2
"141",400202303,"RCP45",2002,9,6.76333,17.1933,118.3
"142",400202303,"RCP45",2002,10,-1.03226,6.18387,57.2
"143",400202303,"RCP45",2002,11,-7.95,-1.78,80.7
"144",400202303,"RCP45",2002,12,-13.7258,-5.80323,32.8
"145",400202303,"RCP45",2003,1,-22.4935,-13.771,13.5
"146",400202303,"RCP45",2003,2,-22.725,-11.1214,51.7
"147",400202303,"RCP45",2003,3,-15.5355,-3.40323,29.9
"148",400202303,"RCP45",2003,4,-7.29333,2.7,90.4
"149",400202303,"RCP45",2003,5,2.20645,13.7452,52.4
"150",400202303,"RCP45",2003,6,7.94333,21.09,73.6
"151",400202303,"RCP45",2003,7,11.6194,20.6355,97.1
"152",400202303,"RCP45",2003,8,10.9484,20.4968,164.1
"153",400202303,"RCP45",2003,9,7.59333,18.7633,56.3
"154",400202303,"RCP45",2003,10,0.283871,7.56129,143.4
"155",400202303,"RCP45",2003,11,-5.50667,1.29667,75.9
"156",400202303,"RCP45",2003,12,-13.8548,-5.47097,137.6
"157",400202303,"RCP45",2004,1,-24.4645,-15.5935,40.6
"158",400202303,"RCP45",2004,2,-18.0103,-7.34138,46.7
"159",400202303,"RCP45",2004,3,-12.9419,-1.07419,57.9
"160",400202303,"RCP45",2004,4,-5.1,3.80667,67.6
"161",400202303,"RCP45",2004,5,0.864516,11.1097,84.3
"162",400202303,"RCP45",2004,6,6.16333,16.8267,125.3
"163",400202303,"RCP45",2004,7,11.8323,21.8258,79.4
"164",400202303,"RCP45",2004,8,10.2871,19.8161,76
"165",400202303,"RCP45",2004,9,5.80333,16.4333,96.9
"166",400202303,"RCP45",2004,10,0.535484,9.67419,68.4
"167",400202303,"RCP45",2004,11,-6.23,0.07,67.5
"168",400202303,"RCP45",2004,12,-18.9387,-8.51613,85.8
"169",400202303,"RCP45",2005,1,-25.5129,-12.4516,23
"170",400202303,"RCP45",2005,2,-17.3607,-6.14643,36.1
"171",400202303,"RCP45",2005,3,-13.2968,-2.31613,31.1
"172",400202303,"RCP45",2005,4,-2.98333,6.15667,94.8
"173",400202303,"RCP45",2005,5,2.26774,12.229,69.6
"174",400202303,"RCP45",2005,6,9.08333,21.31,119.8
"175",400202303,"RCP45",2005,7,10.8581,24.0194,85.2
"176",400202303,"RCP45",2005,8,10.0097,21.4161,157.7
"177",400202303,"RCP45",2005,9,7.09667,16.8067,127.9
"178",400202303,"RCP45",2005,10,2.12581,9.40323,97.2
"179",400202303,"RCP45",2005,11,-6.12,0.49,103.5
"180",400202303,"RCP45",2005,12,-15.1323,-7.64516,65.2
"181",400202303,"RCP45",2006,1,-16.2161,-6.50968,87
"182",400202303,"RCP45",2006,2,-19.2929,-9.47857,69.8
"183",400202303,"RCP45",2006,3,-9.96452,-0.551613,66.8
"184",400202303,"RCP45",2006,4,-3.48333,7.24333,81.1
"185",400202303,"RCP45",2006,5,4.15484,14.4742,67.3
"186",400202303,"RCP45",2006,6,9.80667,21.2367,56.4
"187",400202303,"RCP45",2006,7,11.5065,22.2323,117.6
"188",400202303,"RCP45",2006,8,8.63871,19.8387,45.9
"189",400202303,"RCP45",2006,9,5.00333,16.01,131.9
"190",400202303,"RCP45",2006,10,-0.0419355,7.54839,147.5
