VegPotID;Noting;ParameterEstimate;SpeciesGroupID
24;1;0.150005921;30
25;1;0.15964848;2
25;1;0.599211342;4
25;1;1.32692919;7
25;1;0.787208511;9
25;1;0.245173635;12
25;1;0.427354407;21
25;1;0.551678458;26
25;1;1.319334685;27
26;1;0.744792653;3
26;1;1.16623285;9
26;1;0.379552809;10
26;1;0.812100931;12
26;1;0.262719252;17
26;1;2.303150962;25
26;1;1.151514631;26
26;1;0.765866234;27
27;1;1.347236571;16
27;1;0.747332472;26
28;1;0.147786161;1
28;1;0.022957396;2
28;1;0.409185026;3
28;1;0.243764485;4
28;1;0.119306272;5
28;1;0.075579746;6
28;1;0.121355518;7
28;1;0.036799304;8
28;1;0.571838046;9
28;1;2.030669045;10
28;1;0.15001287;13
28;1;0.671039679;17
28;1;0.041803157;19
28;1;0.145731814;20
28;1;0.289058221;21
28;1;0.036305521;24
28;1;0.152538374;25
28;1;0.251553917;27
28;1;0.487302941;31
29;1;0.845198785;3
29;1;0.236189227;4
29;1;0.016593567;5
29;1;0.065566853;6
29;1;0.206429303;7
29;1;0.040095779;8
29;1;0.549051442;9
29;1;2.195763485;10
29;1;0.046865971;11
29;1;0.024506355;13
29;1;0.038735481;14
29;1;0.008996634;16
29;1;0.555690072;17
29;1;0.04251332;20
29;1;0.223389033;21
29;1;0.041002889;24
29;1;0.105770141;25
29;1;0.401697213;27
29;1;0.074649756;30
29;1;0.050626618;31
