VegPotID;Nothing;ParameterEstimate;SpeciesGroupID
24;1;0.191046177;30
25;1;0.342620172;2
25;1;0.829793258;4
25;1;1.652010605;7
25;1;1.086025276;9
25;1;0.378741734;12
25;1;0.545869952;21
25;1;0.682726669;26
25;1;1.955776518;27
26;1;0.778245616;3
26;1;1.365103474;9
26;1;0.522090436;10
26;1;0.965433186;12
26;1;0.299377138;17
26;1;2.217991428;25
26;1;1.229542406;26
26;1;1.100159252;27
27;1;1.807066072;16
27;1;0.954768101;26
28;1;0.161335594;1
28;1;0.046030168;2
28;1;0.430883393;3
28;1;0.274920835;4
28;1;0.157986092;5
28;1;0.07919333;6
28;1;0.169706056;7
28;1;0.09216469;8
28;1;0.669670164;9
28;1;2.14232318;10
28;1;0.175998647;13
28;1;0.720582415;17
28;1;0.058461158;19
28;1;0.284150585;20
28;1;0.312184709;21
28;1;0.077403183;24
28;1;0.150627014;25
28;1;0.404661046;27
28;1;0.454649434;31
29;1;0.742847873;3
29;1;0.278384096;4
29;1;0.024715011;5
29;1;0.052139755;6
29;1;0.24350375;7
29;1;0.102360749;8
29;1;0.647134383;9
29;1;2.167124439;10
29;1;0.040074185;11
29;1;0.027101026;13
29;1;0.047786338;14
29;1;0.018910117;16
29;1;0.567241714;17
29;1;0.09005407;20
29;1;0.224541591;21
29;1;0.084042051;24
29;1;0.086842764;25
29;1;0.592148619;27
29;1;0.072935691;30
29;1;0.048146725;31
