Annee;PlacetteID;origTreeID;Espece;GrEspece;Etat;Nombre;DHPcm;Veg_Pot;Type_Eco;reg_eco;Altitude;PTot;TMoy;milieu;sdom_bio;hauteur_pred;vol_dm3
2024;P700200801;2;PET;PEU;vivant;1;11.3;RS2;RS21;5c;481;900;1.2999999523162842;1;5O;14.42459675550522;43.320841158311836
2024;P700200801;3;PET;PEU;vivant;1;9.2;RS2;RS21;5c;481;900;1.2999999523162842;1;5O;12.961825961102539;15.42649879662455
2024;P700200801;5;PET;PEU;vivant;1;16.5;RS2;RS21;5c;481;900;1.2999999523162842;1;5O;17.19191819102174;145.31552433175216
2024;P700200801;6;PET;PEU;vivant;1;11.3;RS2;RS21;5c;481;900;1.2999999523162842;1;5O;14.42459675550522;43.320841158311836
2024;P700200801;7;PET;PEU;vivant;1;13.3;RS2;RS21;5c;481;900;1.2999999523162842;1;5O;15.612233977151782;76.79562798707715
2024;P700200801;9;PET;PEU;vivant;1;16.1;RS2;RS21;5c;481;900;1.2999999523162842;1;5O;17.012855466920463;135.71422838217117
2024;P700200801;10;PET;PEU;vivant;1;12.4;RS2;RS21;5c;481;900;1.2999999523162842;1;5O;15.099641502704909;60.86848725773049
2024;P700200801;11;PET;PEU;vivant;1;12.1;RS2;RS21;5c;481;900;1.2999999523162842;1;5O;14.921068459714544;55.87574293895367
2024;P700200801;12;PET;PEU;vivant;1;9.6;RS2;RS21;5c;481;900;1.2999999523162842;1;5O;13.260177248568363;20.19354195761881
2024;P700200801;13;PET;PEU;vivant;1;13.9;RS2;RS21;5c;481;900;1.2999999523162842;1;5O;15.935869660545073;88.21593585729505
2024;P700200801;14;EPN;EPX;vivant;1;18.7;RS2;RS21;5c;481;900;1.2999999523162842;1;5O;16.75411822185897;197.00074473516992
2024;P700200801;15;PET;PEU;vivant;1;10;RS2;RS21;5c;481;900;1.2999999523162842;1;5O;13.54872628540781;25.212438440515232
2024;P700200801;17;PET;PEU;vivant;1;14.6;RS2;RS21;5c;481;900;1.2999999523162842;1;5O;16.296466270835012;102.36330236243721
2024;P700200801;18;EPN;EPX;vivant;1;20.3;RS2;RS21;5c;481;900;1.2999999523162842;1;5O;17.58614022310131;245.4039867424116
2024;P700200801;19;PET;PEU;vivant;1;10.6;RS2;RS21;5c;481;900;1.2999999523162842;1;5O;13.964253408230293;33.22379634509146
2024;P700200801;20;PET;PEU;vivant;1;14.9;RS2;RS21;5c;481;900;1.2999999523162842;1;5O;16.445695614332486;108.70065532593136
2024;P700200801;22;PET;PEU;vivant;1;18.8;RS2;RS21;5c;481;900;1.2999999523162842;1;5O;18.13475189063166;206.39293384826638
2024;P700200801;23;PET;PEU;vivant;1;12.7;RS2;RS21;5c;481;900;1.2999999523162842;1;5O;15.27427745377049;66.01857455516686
2024;P700200801;26;EPN;EPX;vivant;1;15.7;RS2;RS21;5c;481;900;1.2999999523162842;1;5O;15.023951014628143;120.3323625023842
2024;P700200801;27;EPN;EPX;vivant;1;16.6;RS2;RS21;5c;481;900;1.2999999523162842;1;5O;15.568416001811269;141.41434161728483
2024;P700200801;28;EPN;EPX;vivant;1;17.6;RS2;RS21;5c;481;900;1.2999999523162842;1;5O;16.147148168461243;166.76306151224873
2024;P700200801;32;PET;PEU;vivant;1;12;RS2;RS21;5c;481;900;1.2999999523162842;1;5O;14.86064654602227;54.2462370211078
2024;P700200801;33;PET;PEU;vivant;1;12.3;RS2;RS21;5c;481;900;1.2999999523162842;1;5O;15.040560998169168;59.186819376310766
2024;P700200801;34;PET;PEU;vivant;1;9.1;RS2;RS21;5c;481;900;1.2999999523162842;1;5O;12.885643860842034;14.27346614092518
2024;P700200801;38;PET;PEU;vivant;1;9.9;RS2;RS21;5c;481;900;1.2999999523162842;1;5O;13.477479945283656;23.933823774397414
2024;P700200801;39;PET;PEU;vivant;1;15.2;RS2;RS21;5c;481;900;1.2999999523162842;1;5O;16.591866861693994;115.20370015242412
2024;P700200801;40;PET;PEU;vivant;1;10.2;RS2;RS21;5c;481;900;1.2999999523162842;1;5O;13.689482766796692;27.817903684680942
2034;P700200801;2;PET;PEU;vivant;0.7781424007212491;13.206123109179337;RS2;RS21;5c;481;900;1.2999999523162842;1;5O;15.560324451040593;75.06720303819199
2034;P700200801;3;PET;PEU;vivant;0.7738986857955191;10.995208467498326;RS2;RS21;5c;481;900;1.2999999523162842;1;5O;14.227260810478498;38.823790184164146
2034;P700200801;5;PET;PEU;vivant;0.8079979832978909;18.669260723764992;RS2;RS21;5c;481;900;1.2999999523162842;1;5O;18.084852290522203;202.65116108898263
2034;P700200801;6;PET;PEU;vivant;0.7781424007212491;13.206123109179337;RS2;RS21;5c;481;900;1.2999999523162842;1;5O;15.560324451040593;75.06720303819199
2034;P700200801;7;PET;PEU;vivant;0.788056677462231;15.309546815053697;RS2;RS21;5c;481;900;1.2999999523162842;1;5O;16.644496605300006;117.61977293743911
2034;P700200801;9;PET;PEU;vivant;0.8042361380762836;18.24974121975054;RS2;RS21;5c;481;900;1.2999999523162842;1;5O;17.92186526163516;190.8650626526208
2034;P700200801;10;PET;PEU;vivant;0.7851088854250672;14.363306199384725;RS2;RS21;5c;481;900;1.2999999523162842;1;5O;16.176511589377537;97.47967566222431
2034;P700200801;11;PET;PEU;vivant;0.7802921535899525;14.047780512695633;RS2;RS21;5c;481;900;1.2999999523162842;1;5O;16.01348213802911;91.12843962352792
2034;P700200801;12;PET;PEU;vivant;0.7734151757864646;11.416491906799063;RS2;RS21;5c;481;900;1.2999999523162842;1;5O;14.49879434038987;45.08102499445736
2034;P700200801;13;PET;PEU;vivant;0.7895074874566569;15.940076405841241;RS2;RS21;5c;481;900;1.2999999523162842;1;5O;16.939909779193044;131.95940064343364
2034;P700200801;14;EPN;EPX;vivant;0.853806451528899;21.512147936822444;RS2;RS21;5c;481;900;1.2999999523162842;1;5O;18.17970678805829;285.5660675642607
2034;P700200801;15;PET;PEU;vivant;0.7752369385731316;11.837705876507073;RS2;RS21;5c;481;900;1.2999999523162842;1;5O;14.76161000845396;51.638419448696396
2034;P700200801;17;PET;PEU;vivant;0.7910742907840276;16.67537230538882;RS2;RS21;5c;481;900;1.2999999523162842;1;5O;17.268930298255828;149.61978062275347
2034;P700200801;18;EPN;EPX;vivant;0.8468640614436334;23.044613231356244;RS2;RS21;5c;481;900;1.2999999523162842;1;5O;18.888757053067575;340.63866367325915
2034;P700200801;19;PET;PEU;vivant;0.7764499292663858;12.46938782737262;RS2;RS21;5c;481;900;1.2999999523162842;1;5O;15.140378848363303;62.04563163369498
2034;P700200801;20;PET;PEU;vivant;0.7943087621705905;16.990387906153554;RS2;RS21;5c;481;900;1.2999999523162842;1;5O;17.40503415525356;157.49688847718397
2034;P700200801;22;PET;PEU;vivant;0.8243007663752154;21.078673353864513;RS2;RS21;5c;481;900;1.2999999523162842;1;5O;18.940882624823285;276.8777538147207
2034;P700200801;23;PET;PEU;vivant;0.787030824813387;14.67877695248308;RS2;RS21;5c;481;900;1.2999999523162842;1;5O;16.33595332452755;104.01142863735576
2034;P700200801;26;EPN;EPX;vivant;0.8691421425059144;18.62823020379664;RS2;RS21;5c;481;900;1.2999999523162842;1;5O;16.71541822896298;194.95245132243414
2034;P700200801;27;EPN;EPX;vivant;0.8675732836320144;19.49491557140247;RS2;RS21;5c;481;900;1.2999999523162842;1;5O;17.17469644965488;220.3928378923256
2034;P700200801;28;EPN;EPX;vivant;0.8608336580191005;20.456362032893136;RS2;RS21;5c;481;900;1.2999999523162842;1;5O;17.66442089293573;250.4156677391067
2034;P700200801;32;PET;PEU;vivant;0.7777552645309682;13.942593371774445;RS2;RS21;5c;481;900;1.2999999523162842;1;5O;15.958322463051003;89.0513209805894
