PlacetteID;Latitude;Longitude;Altitude;Sdom_Bio;Reg_Eco;Type_Eco;Cl_Drai;Espece;Etat;DHPcm;Nombre;Hauteur;Annee;Type_Eco_Photo;Age;Veg_Pot;origTreeID;sand_015cm;Pente;cec_015cm;Exposition;TMoy;PTot
8800205;49.82244;-71.67343;416;5O;5b;RS22;30;BOP;10;20;1;NA;2000;MS22;50;RS2;5;60;5;5;5;5;900
8800205;49.82244;-71.67343;416;5O;5b;RS22;30;EPN;10;20;3;NA;2000;MS22;50;RS2;6;60;5;5;5;5;900
8800205;49.82244;-71.67343;416;5O;5b;RS22;30;EPN;10;18;1;NA;2000;MS22;50;RS2;7;60;5;5;5;5;900
8800205;49.82244;-71.67343;416;5O;5b;RS22;30;SAB;10;18;1;NA;2000;MS22;50;RS2;8;60;5;5;5;5;900
8800205;49.82244;-71.67343;416;5O;5b;RS22;30;EPN;10;16;4;NA;2000;MS22;50;RS2;9;60;5;5;5;5;900
8800205;49.82244;-71.67343;416;5O;5b;RS22;30;SAB;10;16;3;NA;2000;MS22;50;RS2;10;60;5;5;5;5;900
8800205;49.82244;-71.67343;416;5O;5b;RS22;30;EPN;10;14;3;NA;2000;MS22;50;RS2;11;60;5;5;5;5;900
8800205;49.82244;-71.67343;416;5O;5b;RS22;30;SAB;10;14;6;NA;2000;MS22;50;RS2;12;60;5;5;5;5;900
8800205;49.82244;-71.67343;416;5O;5b;RS22;30;EPN;10;12;3;NA;2000;MS22;50;RS2;13;60;5;5;5;5;900
8800205;49.82244;-71.67343;416;5O;5b;RS22;30;SAB;10;12;8;NA;2000;MS22;50;RS2;14;60;5;5;5;5;900
8800205;49.82244;-71.67343;416;5O;5b;RS22;30;EPN;10;10;8;NA;2000;MS22;50;RS2;15;60;5;5;5;5;900
8800205;49.82244;-71.67343;416;5O;5b;RS22;30;SAB;10;10;11;NA;2000;MS22;50;RS2;16;60;5;5;5;5;900
8800401;49.75966;-71.082094;396;5O;5b;RS22;30;EPN;10;16;1;NA;2000;MS22;30;RS2;1;60;5;5;5;5;900
8800401;49.75966;-71.082094;396;5O;5b;RS22;30;EPN;10;14;1;NA;2000;MS22;30;RS2;2;60;5;5;5;5;900
8800401;49.75966;-71.082094;396;5O;5b;RS22;30;EPN;10;12;3;NA;2000;MS22;30;RS2;3;60;5;5;5;5;900
8800401;49.75966;-71.082094;396;5O;5b;RS22;30;SAB;10;12;4;NA;2000;MS22;30;RS2;4;60;5;5;5;5;900
8800401;49.75966;-71.082094;396;5O;5b;RS22;30;BOP;10;10;2;NA;2000;MS22;30;RS2;5;60;5;5;5;5;900
8800401;49.75966;-71.082094;396;5O;5b;RS22;30;EPN;10;10;8;NA;2000;MS22;30;RS2;6;60;5;5;5;5;900
8800401;49.75966;-71.082094;396;5O;5b;RS22;30;SAB;10;10;12;NA;2000;MS22;30;RS2;7;60;5;5;5;5;900
8800402;49.760167;-71.083252;396;5O;5b;RS22;30;EPN;10;16;3;NA;2000;MS22;30;RS2;1;60;5;5;5;5;900
8800402;49.760167;-71.083252;396;5O;5b;RS22;30;EPN;10;14;5;NA;2000;MS22;30;RS2;2;60;5;5;5;5;900
8800402;49.760167;-71.083252;396;5O;5b;RS22;30;BOP;10;12;1;NA;2000;MS22;30;RS2;3;60;5;5;5;5;900
8800402;49.760167;-71.083252;396;5O;5b;RS22;30;EPB;10;12;1;NA;2000;MS22;30;RS2;4;60;5;5;5;5;900
8800402;49.760167;-71.083252;396;5O;5b;RS22;30;EPN;10;12;5;NA;2000;MS22;30;RS2;5;60;5;5;5;5;900
8800402;49.760167;-71.083252;396;5O;5b;RS22;30;SAB;10;12;2;NA;2000;MS22;30;RS2;6;60;5;5;5;5;900
8800402;49.760167;-71.083252;396;5O;5b;RS22;30;EPN;10;10;7;NA;2000;MS22;30;RS2;7;60;5;5;5;5;900
8800402;49.760167;-71.083252;396;5O;5b;RS22;30;SAB;10;10;4;NA;2000;MS22;30;RS2;8;60;5;5;5;5;900
8800501;49.757268;-71.078512;381;5O;5b;RS21;30;SAB;10;18;1;NA;2000;MS22;30;RS2;1;60;5;5;5;5;900
8800501;49.757268;-71.078512;381;5O;5b;RS21;30;SAB;10;18;1;NA;2000;MS22;30;RS2;2;60;5;5;5;5;900
8800501;49.757268;-71.078512;381;5O;5b;RS21;30;EPN;10;16;1;NA;2000;MS22;30;RS2;3;60;5;5;5;5;900
8800501;49.757268;-71.078512;381;5O;5b;RS21;30;SAB;10;16;3;NA;2000;MS22;30;RS2;4;60;5;5;5;5;900
8800501;49.757268;-71.078512;381;5O;5b;RS21;30;EPN;10;12;5;NA;2000;MS22;30;RS2;5;60;5;5;5;5;900
8800501;49.757268;-71.078512;381;5O;5b;RS21;30;SAB;10;12;3;NA;2000;MS22;30;RS2;6;60;5;5;5;5;900
8800501;49.757268;-71.078512;381;5O;5b;RS21;30;EPN;10;10;5;NA;2000;MS22;30;RS2;7;60;5;5;5;5;900
8800501;49.757268;-71.078512;381;5O;5b;RS21;30;SAB;10;10;5;NA;2000;MS22;30;RS2;8;60;5;5;5;5;900
8800501;49.757268;-71.078512;381;5O;5b;RS21;30;SAB;10;10;1;NA;2000;MS22;30;RS2;9;60;5;5;5;5;900
8801101;49.755718;-71.266542;401;5O;5b;RS22;30;SAB;10;24;1;NA;2000;RS22;30;RS2;1;60;5;5;5;5;900
8801101;49.755718;-71.266542;401;5O;5b;RS22;30;EPN;10;16;1;NA;2000;RS22;30;RS2;2;60;5;5;5;5;900
8801101;49.755718;-71.266542;401;5O;5b;RS22;30;EPN;10;14;1;NA;2000;RS22;30;RS2;3;60;5;5;5;5;900
8801101;49.755718;-71.266542;401;5O;5b;RS22;30;SAB;10;14;1;NA;2000;RS22;30;RS2;4;60;5;5;5;5;900
8801101;49.755718;-71.266542;401;5O;5b;RS22;30;EPN;10;12;2;NA;2000;RS22;30;RS2;5;60;5;5;5;5;900
8801101;49.755718;-71.266542;401;5O;5b;RS22;30;SAB;10;12;12;NA;2000;RS22;30;RS2;6;60;5;5;5;5;900
8801101;49.755718;-71.266542;401;5O;5b;RS22;30;EPN;10;10;11;NA;2000;RS22;30;RS2;7;60;5;5;5;5;900
8801101;49.755718;-71.266542;401;5O;5b;RS22;30;SAB;10;10;13;NA;2000;RS22;30;RS2;8;60;5;5;5;5;900
8801401;49.763056;-71.093295;396;5O;5b;RS21;30;BOP;10;18;1;NA;2000;MS22;30;RS2;1;60;5;5;5;5;900
8801401;49.763056;-71.093295;396;5O;5b;RS21;30;EPN;10;18;1;NA;2000;MS22;30;RS2;2;60;5;5;5;5;900
8801401;49.763056;-71.093295;396;5O;5b;RS21;30;EPN;10;12;1;NA;2000;MS22;30;RS2;3;60;5;5;5;5;900
8801401;49.763056;-71.093295;396;5O;5b;RS21;30;SAB;10;12;3;NA;2000;MS22;30;RS2;4;60;5;5;5;5;900
8801401;49.763056;-71.093295;396;5O;5b;RS21;30;EPN;10;10;4;NA;2000;MS22;30;RS2;5;60;5;5;5;5;900
8801401;49.763056;-71.093295;396;5O;5b;RS21;30;SAB;10;10;7;NA;2000;MS22;30;RS2;6;60;5;5;5;5;900
8801402;49.763957;-71.092945;396;5O;5b;RS22;30;BOP;10;24;1;NA;2000;MS22;30;RS2;1;60;5;5;5;5;900
8801402;49.763957;-71.092945;396;5O;5b;RS22;30;BOP;10;20;2;NA;2000;MS22;30;RS2;2;60;5;5;5;5;900
8801402;49.763957;-71.092945;396;5O;5b;RS22;30;SAB;10;20;2;NA;2000;MS22;30;RS2;3;60;5;5;5;5;900
8801402;49.763957;-71.092945;396;5O;5b;RS22;30;BOP;10;18;1;NA;2000;MS22;30;RS2;4;60;5;5;5;5;900
8801402;49.763957;-71.092945;396;5O;5b;RS22;30;SAB;10;18;3;NA;2000;MS22;30;RS2;5;60;5;5;5;5;900
8801402;49.763957;-71.092945;396;5O;5b;RS22;30;SAB;10;16;6;NA;2000;MS22;30;RS2;6;60;5;5;5;5;900
8801402;49.763957;-71.092945;396;5O;5b;RS22;30;BOP;10;14;1;NA;2000;MS22;30;RS2;7;60;5;5;5;5;900
8801402;49.763957;-71.092945;396;5O;5b;RS22;30;SAB;10;14;14;NA;2000;MS22;30;RS2;8;60;5;5;5;5;900
8801402;49.763957;-71.092945;396;5O;5b;RS22;30;SAB;10;12;27;NA;2000;MS22;30;RS2;9;60;5;5;5;5;900
8801402;49.763957;-71.092945;396;5O;5b;RS22;30;SAB;10;10;15;NA;2000;MS22;30;RS2;10;60;5;5;5;5;900
8802501;49.696305;-71.515823;390;5O;5b;RS22;30;EPN;10;20;1;NA;2000;MS22;30;RS2;1;60;5;5;5;5;900
8802501;49.696305;-71.515823;390;5O;5b;RS22;30;EPN;10;18;1;NA;2000;MS22;30;RS2;2;60;5;5;5;5;900
8802501;49.696305;-71.515823;390;5O;5b;RS22;30;SAB;10;18;1;NA;2000;MS22;30;RS2;3;60;5;5;5;5;900
8802501;49.696305;-71.515823;390;5O;5b;RS22;30;SAB;10;16;2;NA;2000;MS22;30;RS2;4;60;5;5;5;5;900
8802501;49.696305;-71.515823;390;5O;5b;RS22;30;EPB;10;14;1;NA;2000;MS22;30;RS2;5;60;5;5;5;5;900
8802501;49.696305;-71.515823;390;5O;5b;RS22;30;EPN;10;14;1;NA;2000;MS22;30;RS2;6;60;5;5;5;5;900
8802501;49.696305;-71.515823;390;5O;5b;RS22;30;SAB;10;14;9;NA;2000;MS22;30;RS2;7;60;5;5;5;5;900
8802501;49.696305;-71.515823;390;5O;5b;RS22;30;EPN;10;12;4;NA;2000;MS22;30;RS2;8;60;5;5;5;5;900
8802501;49.696305;-71.515823;390;5O;5b;RS22;30;SAB;10;12;24;NA;2000;MS22;30;RS2;9;60;5;5;5;5;900
8802501;49.696305;-71.515823;390;5O;5b;RS22;30;BOP;10;10;1;NA;2000;MS22;30;RS2;10;60;5;5;5;5;900
8802501;49.696305;-71.515823;390;5O;5b;RS22;30;EPB;10;10;1;NA;2000;MS22;30;RS2;11;60;5;5;5;5;900
8802501;49.696305;-71.515823;390;5O;5b;RS22;30;EPN;10;10;2;NA;2000;MS22;30;RS2;12;60;5;5;5;5;900
8802501;49.696305;-71.515823;390;5O;5b;RS22;30;SAB;10;10;32;NA;2000;MS22;30;RS2;13;60;5;5;5;5;900
8803202;49.702349;-71.405133;427;5O;5b;RS22;30;EPN;10;28;1;NA;2000;RE22;70;RS2;1;60;5;5;5;5;900
8803202;49.702349;-71.405133;427;5O;5b;RS22;30;EPN;10;26;1;NA;2000;RE22;70;RS2;2;60;5;5;5;5;900
8803202;49.702349;-71.405133;427;5O;5b;RS22;30;EPN;10;24;2;NA;2000;RE22;70;RS2;3;60;5;5;5;5;900
8803202;49.702349;-71.405133;427;5O;5b;RS22;30;EPN;10;22;6;NA;2000;RE22;70;RS2;4;60;5;5;5;5;900
8803202;49.702349;-71.405133;427;5O;5b;RS22;30;EPN;10;20;5;NA;2000;RE22;70;RS2;5;60;5;5;5;5;900
8803202;49.702349;-71.405133;427;5O;5b;RS22;30;EPN;10;18;10;NA;2000;RE22;70;RS2;6;60;5;5;5;5;900
8803202;49.702349;-71.405133;427;5O;5b;RS22;30;PET;10;18;1;NA;2000;RE22;70;RS2;7;60;5;5;5;5;900
8803202;49.702349;-71.405133;427;5O;5b;RS22;30;EPN;10;16;11;NA;2000;RE22;70;RS2;8;60;5;5;5;5;900
8803202;49.702349;-71.405133;427;5O;5b;RS22;30;SAB;10;16;1;NA;2000;RE22;70;RS2;9;60;5;5;5;5;900
8803202;49.702349;-71.405133;427;5O;5b;RS22;30;EPN;10;14;8;NA;2000;RE22;70;RS2;10;60;5;5;5;5;900
8803202;49.702349;-71.405133;427;5O;5b;RS22;30;SAB;10;14;1;NA;2000;RE22;70;RS2;11;60;5;5;5;5;900
8803202;49.702349;-71.405133;427;5O;5b;RS22;30;EPN;10;12;6;NA;2000;RE22;70;RS2;12;60;5;5;5;5;900
8803202;49.702349;-71.405133;427;5O;5b;RS22;30;EPN;10;10;4;NA;2000;RE22;70;RS2;13;60;5;5;5;5;900
8803202;49.702349;-71.405133;427;5O;5b;RS22;30;SAB;10;10;1;NA;2000;RE22;70;RS2;14;60;5;5;5;5;900
8803301;49.696279;-71.407474;381;5O;5b;RS22;30;EPN;10;26;1;NA;2000;RE21;50;RS2;1;60;5;5;5;5;900
8803301;49.696279;-71.407474;381;5O;5b;RS22;30;EPN;10;24;3;NA;2000;RE21;50;RS2;2;60;5;5;5;5;900
8803301;49.696279;-71.407474;381;5O;5b;RS22;30;EPN;10;22;3;NA;2000;RE21;50;RS2;3;60;5;5;5;5;900
8803301;49.696279;-71.407474;381;5O;5b;RS22;30;EPN;10;20;1;NA;2000;RE21;50;RS2;4;60;5;5;5;5;900
8803301;49.696279;-71.407474;381;5O;5b;RS22;30;EPN;10;18;7;NA;2000;RE21;50;RS2;5;60;5;5;5;5;900
8803301;49.696279;-71.407474;381;5O;5b;RS22;30;EPN;10;16;10;NA;2000;RE21;50;RS2;6;60;5;5;5;5;900
8803301;49.696279;-71.407474;381;5O;5b;RS22;30;EPN;10;14;6;NA;2000;RE21;50;RS2;7;60;5;5;5;5;900
8803301;49.696279;-71.407474;381;5O;5b;RS22;30;SAB;10;14;1;NA;2000;RE21;50;RS2;8;60;5;5;5;5;900
8803301;49.696279;-71.407474;381;5O;5b;RS22;30;EPN;10;12;11;NA;2000;RE21;50;RS2;9;60;5;5;5;5;900
8803301;49.696279;-71.407474;381;5O;5b;RS22;30;SAB;10;12;3;NA;2000;RE21;50;RS2;10;60;5;5;5;5;900
8803301;49.696279;-71.407474;381;5O;5b;RS22;30;EPN;10;10;12;NA;2000;RE21;50;RS2;11;60;5;5;5;5;900
8803301;49.696279;-71.407474;381;5O;5b;RS22;30;SAB;10;10;5;NA;2000;RE21;50;RS2;12;60;5;5;5;5;900
8803402;49.702143;-71.426646;395;5O;5b;RS25;40;EPN;10;30;1;NA;2000;RE24;120;RS2;1;60;5;5;5;5;900
8803402;49.702143;-71.426646;395;5O;5b;RS25;40;SAB;10;30;1;NA;2000;RE24;120;RS2;2;60;5;5;5;5;900
8803402;49.702143;-71.426646;395;5O;5b;RS25;40;EPN;10;28;3;NA;2000;RE24;120;RS2;3;60;5;5;5;5;900
8803402;49.702143;-71.426646;395;5O;5b;RS25;40;EPN;10;26;2;NA;2000;RE24;120;RS2;4;60;5;5;5;5;900
8803402;49.702143;-71.426646;395;5O;5b;RS25;40;EPN;10;24;1;NA;2000;RE24;120;RS2;5;60;5;5;5;5;900
8803402;49.702143;-71.426646;395;5O;5b;RS25;40;EPN;10;22;2;NA;2000;RE24;120;RS2;6;60;5;5;5;5;900
8803402;49.702143;-71.426646;395;5O;5b;RS25;40;SAB;10;22;1;NA;2000;RE24;120;RS2;7;60;5;5;5;5;900
8803402;49.702143;-71.426646;395;5O;5b;RS25;40;EPN;10;20;4;NA;2000;RE24;120;RS2;8;60;5;5;5;5;900
8803402;49.702143;-71.426646;395;5O;5b;RS25;40;SAB;10;20;1;NA;2000;RE24;120;RS2;9;60;5;5;5;5;900
8803402;49.702143;-71.426646;395;5O;5b;RS25;40;BOP;10;18;1;NA;2000;RE24;120;RS2;10;60;5;5;5;5;900
8803402;49.702143;-71.426646;395;5O;5b;RS25;40;EPN;10;18;3;NA;2000;RE24;120;RS2;11;60;5;5;5;5;900
8803402;49.702143;-71.426646;395;5O;5b;RS25;40;SAB;10;18;1;NA;2000;RE24;120;RS2;12;60;5;5;5;5;900
8803402;49.702143;-71.426646;395;5O;5b;RS25;40;SAB;10;16;3;NA;2000;RE24;120;RS2;13;60;5;5;5;5;900
8803402;49.702143;-71.426646;395;5O;5b;RS25;40;EPN;10;14;1;NA;2000;RE24;120;RS2;14;60;5;5;5;5;900
8803402;49.702143;-71.426646;395;5O;5b;RS25;40;SAB;10;14;1;NA;2000;RE24;120;RS2;15;60;5;5;5;5;900
8803402;49.702143;-71.426646;395;5O;5b;RS25;40;EPN;10;12;1;NA;2000;RE24;120;RS2;16;60;5;5;5;5;900
8803402;49.702143;-71.426646;395;5O;5b;RS25;40;SAB;10;12;4;NA;2000;RE24;120;RS2;17;60;5;5;5;5;900
8803402;49.702143;-71.426646;395;5O;5b;RS25;40;EPN;10;10;1;NA;2000;RE24;120;RS2;18;60;5;5;5;5;900
8803402;49.702143;-71.426646;395;5O;5b;RS25;40;SAB;10;10;3;NA;2000;RE24;120;RS2;19;60;5;5;5;5;900
8803404;49.697262;-71.426387;424;5O;5b;RS22;30;SAB;10;32;1;NA;2000;RS22;50;RS2;1;60;5;5;5;5;900
8803404;49.697262;-71.426387;424;5O;5b;RS22;30;SAB;10;28;1;NA;2000;RS22;50;RS2;2;60;5;5;5;5;900
8803404;49.697262;-71.426387;424;5O;5b;RS22;30;EPN;10;24;1;NA;2000;RS22;50;RS2;3;60;5;5;5;5;900
8803404;49.697262;-71.426387;424;5O;5b;RS22;30;EPN;10;22;1;NA;2000;RS22;50;RS2;4;60;5;5;5;5;900
8803404;49.697262;-71.426387;424;5O;5b;RS22;30;EPN;10;20;8;NA;2000;RS22;50;RS2;5;60;5;5;5;5;900
8803404;49.697262;-71.426387;424;5O;5b;RS22;30;EPN;10;18;9;NA;2000;RS22;50;RS2;6;60;5;5;5;5;900
8803404;49.697262;-71.426387;424;5O;5b;RS22;30;SAB;10;18;1;NA;2000;RS22;50;RS2;7;60;5;5;5;5;900
8803404;49.697262;-71.426387;424;5O;5b;RS22;30;EPN;10;16;13;NA;2000;RS22;50;RS2;8;60;5;5;5;5;900
