reg_eco;PlacetteID;rcp;Mois;Latitude;Altitude;Tmin;Tmax;Radiation;PTot;Vent2;Annee
5c;P700200801;RCP45;1;48.134455;481;-22.33333333;-9.633333333;6.387096774;53.1;2.027777778;2010
5c;P700200801;RCP45;3;48.134455;481;-13.8;-0.333333333;14.69032258;37.73333333;2.175925926;2011
5c;P700200801;RCP45;1;48.134455;481;-21.03333333;-8.833333333;6.319354839;53.73333333;2.018518519;2011
5c;P700200801;RCP45;4;48.134455;481;-4.833333333;7.3;19.29111111;61.93333333;2.37037037;2011
5c;P700200801;RCP45;2;48.134455;481;-20.13333333;-6.9;9.342222222;42.63333333;2.037037037;2011
5c;P700200801;RCP45;5;48.134455;481;2.466666667;16.2;22.22688172;88.56666667;2.194444444;2011
5c;P700200801;RCP45;6;48.134455;481;8;21.3;21.44222222;78.36666667;2;2011
5c;P700200801;RCP45;7;48.134455;481;11.26666667;23.56666667;19.08924731;98.83333333;1.888888889;2011
5c;P700200801;RCP45;8;48.134455;481;9.8;22.13333333;16.72795699;83.3;1.916666667;2011
5c;P700200801;RCP45;9;48.134455;481;5.666666667;17.26666667;12.14222222;77.23333333;2.009259259;2011
5c;P700200801;RCP45;10;48.134455;481;-0.233333333;9.1;7.387096774;69;2.194444444;2011
5c;P700200801;RCP45;11;48.134455;481;-6.5;2.033333333;5.19;69.63333333;2.185185185;2011
5c;P700200801;RCP45;12;48.134455;481;-16.33333333;-5.6;5.060215054;57.26666667;2.083333333;2011
5c;P700200801;RCP45;3;48.134455;481;-13.8;-0.333333333;14.69032258;37.73333333;2.175925926;2012
5c;P700200801;RCP45;1;48.134455;481;-21.03333333;-8.833333333;6.319354839;53.73333333;2.018518519;2012
5c;P700200801;RCP45;4;48.134455;481;-4.833333333;7.3;19.29111111;61.93333333;2.37037037;2012
5c;P700200801;RCP45;2;48.134455;481;-20.13333333;-6.9;9.342222222;42.63333333;2.037037037;2012
5c;P700200801;RCP45;5;48.134455;481;2.466666667;16.2;22.22688172;88.56666667;2.194444444;2012
5c;P700200801;RCP45;6;48.134455;481;8;21.3;21.44222222;78.36666667;2;2012
5c;P700200801;RCP45;7;48.134455;481;11.26666667;23.56666667;19.08924731;98.83333333;1.888888889;2012
