"(Intercept)" "log(DHP_MM)" "DHP_MM" "s(age_moy).1" "s(age_moy).2" "s(age_moy).3" "s(SLOPE).1" "s(SLOPE).2" "s(SLOPE).3" "s(BA9).1" "s(BA9).2" "s(BA9).3" "s(BA9,stand_stage).1" "s(BA9,stand_stage).2" "s(BA9,stand_stage).3" "s(BA9,stand_stage).4" "s(BAL).1" "s(BAL).2" "s(BAL).3" "s(BAL,stand_stage).1" "s(BAL,stand_stage).2" "s(BAL,stand_stage).3" "s(BAL,stand_stage).4" "s(Tmax_yr).1" "s(Tmax_yr).2" "s(Tmax_yr).3" "s(CMIPen_gs59).1" "s(CMIPen_gs59).2" "s(CMIPen_gs59).3" "ti(Tmax_yr,CMIPen_gs59).1" "ti(Tmax_yr,CMIPen_gs59).2" "ti(Tmax_yr,CMIPen_gs59).3" "ti(Tmax_yr,CMIPen_gs59).4" "s(Snow_cat).1" "s(Snow_cat).2" "s(Snow_cat).3" "s(CMIPen_gs59,Snow_cat).1" "s(CMIPen_gs59,Snow_cat).2" "s(CMIPen_gs59,Snow_cat).3" "s(TYPE_ECO).1" "s(TYPE_ECO).2" "s(TYPE_ECO).3" "s(TYPE_ECO).4" "s(TYPE_ECO).5" "s(TYPE_ECO).6" "s(TYPE_ECO).7" "s(TYPE_ECO).8" "s(CMIPen_gs59,TYPE_ECO).1" "s(CMIPen_gs59,TYPE_ECO).2" "s(CMIPen_gs59,TYPE_ECO).3" "s(CMIPen_gs59,TYPE_ECO).4" "s(CMIPen_gs59,TYPE_ECO).5" "s(CMIPen_gs59,TYPE_ECO).6" "s(CMIPen_gs59,TYPE_ECO).7" "s(CMIPen_gs59,TYPE_ECO).8" "s(Tmax_yr,TYPE_ECO).1" "s(Tmax_yr,TYPE_ECO).2" "s(Tmax_yr,TYPE_ECO).3" "s(Tmax_yr,TYPE_ECO).4" "s(Tmax_yr,TYPE_ECO).5" "s(Tmax_yr,TYPE_ECO).6" "s(Tmax_yr,TYPE_ECO).7" "s(Tmax_yr,TYPE_ECO).8" "s(stand_stage).1" "s(stand_stage).2" "s(stand_stage).3" "s(stand_stage).4" "s(CMIPen_gs59,stand_stage).1" "s(CMIPen_gs59,stand_stage).2" "s(CMIPen_gs59,stand_stage).3" "s(CMIPen_gs59,stand_stage).4" "s(Tmax_yr,stand_stage).1" "s(Tmax_yr,stand_stage).2" "s(Tmax_yr,stand_stage).3" "s(Tmax_yr,stand_stage).4" "ESSENCE"
"BOP" -3.51361402722711 0.984475173335893 0.00201245383840004 -0.901330815323595 -0.727393860005838 -0.639302480640185 0.0036191552950491 0.00727714025749166 0.012613755335709 -0.385581315646579 -0.363581796396537 -0.132843021974757 0.0023280919018484 0.00049262714493285 -0.000792968139366955 -0.00202775090741683 0.166935682345974 0.170561391995928 0.260687397126034 4.25619495274841e-05 -0.0030140663807903 0.00074103019607862 0.00223047423518475 0.338440669549566 0.326156388876608 0.0503724661739193 0.112004529387966 0.144034625594912 -0.0528386191336305 -0.213875961188774 0.0772065106128238 -0.152126605241232 0.305348518583966 -0.0175367295010771 0.0160465542597396 0.00149017524133681 -0.000224980929463411 0.000489625613289731 -0.000264644683820948 -0.0421869261715065 -0.0798915736563828 0.0544238231640271 -0.172834906004688 -0.0207207176157047 0.0883124675807631 0.156896789503958 0.0160010431992241 0.000367172536157749 0.000279674536826244 0.000137810409254272 -0.000136133509101744 -0.000124087155869497 8.82797533151271e-05 -0.000145992408903985 -0.000466724161679921 -0.000630272195782033 0.00899335977341408 -0.00581832477603936 0.0230030956454023 0.00444449701006603 -0.00825395022178163 -0.0130043003160459 -0.00873410491925002 0.0278828290237869 -0.0180249549646525 -0.0214004182719833 0.0115425442128465 -0.000432865738084917 0.000223168492259359 7.33121652012289e-05 0.000136385080621669 7.61682301086954e-11 -3.00708809651502e-10 8.85504862057778e-11 1.35990016590472e-10 "BOP"
"EPB" -3.80834685139947 1.13361335592074 0.00131943629571282 -0.811805656913848 -0.583847889671108 -1.22350537377764 0.0429509944320648 -0.0087682795779538 -0.0381475243561951 -0.350824109875545 -0.559569435688253 -0.504757452222724 -0.00652808207269718 0.000892900226950397 0.0025033546388358 0.00313182720691157 0.20146014228868 0.228167356768309 0.409379580881644 0.00756520195636552 -0.00473832377135838 -0.0023997963976376 -0.000427081787369965 0.600095101212713 0.435377081096331 -0.283565578417656 0.00164633138687879 0.0106489895888766 -0.142216334498162 0.293510240061393 0.404256279247849 -0.122924166614494 -0.169305392499852 -0.0111055880901078 0.0356820874362378 -0.0245764993461291 -0.000315127037142686 0.00046752460074363 -0.000152397563600951 -0.00375152970483692 0.204136073038249 0.109147976935539 0.0594862825780246 -0.0713739330691568 -0.063305231915167 -0.134519040161579 -0.0998205977010528 0.000122670210993306 -0.000222978323439379 0.000492957730218949 -1.54765658925577e-05 0.00011704893837905 4.12985013786227e-05 -0.000269813458307447 -0.000265707033329979 -0.0145056220391162 -0.0200069684448482 -0.0094295186152043 -0.00994140079754443 0.0126297311613113 0.0150634671811022 0.0210497723761825 0.00514053917812434 -0.308722657957661 -0.00181574814381291 0.233139396317244 0.0773990097842523 0.000297990540343675 -0.000170569003901327 -1.84324191716362e-05 -0.000108989117271056 0.0559037755958846 0.00354643031116189 -0.0325584682797916 -0.0268917377759801 "EPB"
"EPN" -1.25341614023357 0.388455389904256 0.00522179250641543 -1.01338526161333 -0.866712837959545 -0.950381113948973 0.0530593916031945 0.0505651833601362 0.0579217253382277 -0.0494927243987056 -0.117843163260547 -0.0885381013164679 0.000991499008226067 0.00119391385328753 0.000191001661911992 -0.00237641452342586 0.189764037578271 0.152619032038768 0.527054456205952 -0.00308984878195609 -0.00348412020333887 0.000962935473830938 0.00561103360969179 0.0836489337340212 0.0928474041221026 -0.176349698575318 0.0250606984299231 0.000121252933919764 -0.0152783394349716 0.18839567398236 0.174826078441509 0.0928505066900241 0.0861627976630738 0.0494542119255565 -0.0329017013603084 -0.0165525105652539 0.000471374923343543 -0.000363287245550205 -0.00010808767779321 -0.0219143639037142 -0.0679042972684918 -0.141093079930365 0.0408070334897627 -0.0906932588849986 -0.00103688951462412 0.243849878688012 0.0379849947981365 0.000178765488106794 -0.000110801074742446 7.84659594367973e-05 -4.60466746922552e-05 -2.72398250934109e-05 3.10162675508975e-05 -1.21879114209687e-05 -9.19722291459603e-05 -0.00408653110570526 0.00934286068299994 0.0234243898758513 -0.0023152500733892 0.0115073581788425 -0.001063842789565 -0.0283462146568719 -0.00846277011216805 0.136773487157104 -0.051326831423638 -0.0568882120410317 -0.0285584436921458 -0.000112809814211077 -0.000177934570626118 -1.59988512644062e-05 0.000306743236102187 -0.014907025836613 -0.00386698342341649 0.00976801040953782 0.00900599885053027 "EPN"
"MEL" -2.15585009027613 0.757044887899512 0.00416758997303144 -0.791337599979671 -0.857272699663059 -0.590986134939354 -0.0671412720352972 -0.0549148841973215 0.169060540116519 0.00456523353534006 -0.0536922899453339 0.429843869587748 -0.00530368970319094 -0.00312926695052629 -0.00159381603642199 -0.00994460403488947 0.104110172807505 0.303569578588469 -0.136525162092423 0.000542657085893839 -0.0021435255059813 -0.000325907894771409 0.00192677624779227 0.0712117247936921 0.000289049232666226 0.11584171990128 -0.0484005267489097 -0.0287786180534352 -0.100071428732545 0.456830654911842 -0.0675605886372983 0.395324019560087 -0.0584643852948515 0.0207223298872801 -0.01862919570476 -0.00209313482111308 -7.54936114241146e-13 -1.13611651441865e-12 1.89099113675391e-12 0.0146069127173509 -0.0235336517200058 -0.0468605570283512 -0.0250459888772375 -0.0148186604551407 0.0109714765286714 0.0964997610771609 -0.0118192939620702 -4.28876521403796e-05 2.53022938371204e-05 -5.5944115916363e-05 -7.85600367004929e-06 -1.98138781470835e-05 -0.000119863368280981 0.000106619032726097 0.000114443691005308 3.08758317381256e-12 -6.86544661058751e-12 -9.07414883585547e-13 -4.87047990286808e-12 -6.67494995869768e-12 4.6256032479455e-12 1.37636151080185e-11 -2.15599007631415e-12 0.101083534954176 -0.00307865370293613 -0.128899979520525 0.0308950912869766 -3.89001790680941e-13 -2.07311118562184e-13 4.32803101397729e-13 1.63560385788365e-13 3.22085429091466e-11 -3.56098827143375e-11 -1.46896058330054e-11 1.80903234158798e-11 "MEL"
"PET" -4.6695677186196 1.27697256725322 0.00195355396556625 -0.775532425505765 -1.14018463066982 -1.34068276382898 -0.0458455314574109 -0.040683262899017 -0.152864100373464 -0.175028754906708 -0.380076449260116 -0.387290647835677 -0.0089898820534554 0.00442552823845231 0.00277042707257626 0.00179392260880214 0.18723514205701 0.167452818347901 0.332601069040364 0.00878634625972727 -0.00620716802406589 -0.00223838086502672 -0.000340797370633802 0.0376743150446486 0.0410650548729169 0.0336684598381887 0.113087757644825 0.114519658707871 -0.169621510836687 -0.160311577638144 0.178952667541757 -0.164946516560434 0.184126559088547 0.0131198289782108 -0.0038404143276117 -0.00927941465060161 -0.000159606851579342 -5.12316856058228e-05 0.000210838537185398 -0.137843766878337 -0.103313196770759 -0.0589199273041305 0.00397296404716015 0.0779918240823928 -0.0157382363933723 0.174178196835964 0.059672128869434 0.000231264069903405 5.72607080664869e-06 0.000120936207383941 9.07294655405078e-05 -2.94044530023997e-05 -1.88582397987618e-06 -0.000290096242364567 -0.000127269294286564 -0.000494403091387007 0.00394359759327052 0.00258459571275621 0.0029418391018011 -0.00294871990114945 0.00721612030753814 -0.011076743843436 -0.00216628587939079 0.105890109717281 -0.066573966172301 -0.0275377299402433 -0.0117784136047727 0.000252048539320074 0.000295172977869528 -0.000205579037760093 -0.000341642479429665 -0.00531333466792066 0.00454523890230463 -0.00275090616557548 0.00351900193119081 "PET"
"PIG" -2.25544387450429 0.737230173220633 0.00342100193074532 -1.16713661412535 -1.05860706897852 -1.26402578649967 0.00152887061056871 0.00331499912346993 0.00640344421867548 -0.0382872956283081 -0.216374025246749 -0.0286334387944197 -0.00135513353932048 0.00110706350150001 0.0014269204569554 -0.00117885046477557 0.0946818798930661 0.104918008834121 0.152312203618259 0.00213868288113454 -0.00170754067983257 -0.000430948001199764 -1.94223386558768e-07 0.212341776148933 0.259591407219118 0.268799343678774 -0.0699986965918706 -0.0828063109640251 -0.47253637503612 -0.140614677714978 -0.164880504499363 0.403624685375616 0.47327802634615 0.00651440197687214 0.0134733637901892 -0.0199877658856714 2.73268043059685e-05 -0.000442422676730033 0.000415095872147496 -0.167765313106623 -0.164045803795555 -0.390410982044542 -0.277370726827996 -0.268828246827084 -0.508846360028405 0.00878683950588587 -0.486963431013019 0.000357240659970066 -0.000160891842332325 0.000163522913265848 0.000204749408784144 -0.00124995028312229 0.000519944328524393 0.000331638081236856 -0.000166253267515742 -0.0171839843249619 -0.0164329462731396 0.010841060453005 0.0138319253510511 -0.00563647216158393 0.0186951433448015 -0.0254993560763867 0.0213846278696802 0.14583192790689 -0.0416650663028573 -0.155359424722268 0.0511925354017079 1.39432127771741e-11 -3.28553024883457e-12 -1.36695804924355e-11 3.01149412119884e-12 -0.0161452335222424 0.00012551032133138 0.0117782381956898 0.00424148443613334 "PIG"
"SAB" -1.81334347811029 0.63096878984243 0.00492903225070511 -0.550986208364311 -0.731853832646022 -1.00346499336231 0.00772390514686901 -0.0310918523009196 -0.0120910608990471 -0.373701722002489 -0.335760361498805 -0.214105497026585 0.00412719973160748 -0.00259786442612784 -0.00161766613004642 8.83308245700547e-05 0.23174726948542 0.232172224208332 0.502163891921469 -0.00461586790819119 -0.000281344112510193 0.000138350241549266 0.00475886177915135 0.572362880417805 0.389683507675418 -0.11959850186126 0.201009887917195 0.199321526586712 -0.00163561401998002 0.614292402053364 0.233646552046149 0.045113430669381 -0.147608352672874 -0.0132088541694544 0.0118576162508142 0.00135123791864 8.75824371667437e-05 -0.000273242206747821 0.000185659769581023 -0.0520822601438072 0.0232821105026346 0.0173579520716978 0.0302698879453272 0.0277089997698938 0.0161276888496062 0.066615795527449 -0.129280174521439 0.000250376520039067 6.22367883774712e-05 0.00034328412310464 -0.000295167456376317 -9.56481353862057e-05 -8.17159958296366e-05 -0.000204889311359025 2.15234674303464e-05 -0.00241401739077761 -0.000818908749744642 0.0025815982588849 0.000558330209482952 3.01306450301173e-05 0.00139732785506444 -0.00246599337668181 0.00113153254874185 0.138346533620797 0.0485084135837192 -0.0462120680277619 -0.140642879177447 0.000197537759610403 -0.000127395230803068 7.28192280080225e-05 -0.000142961756815397 -0.0157194821019703 0.00590028903513797 0.0086283443713719 0.00119084869546035 "SAB"
