"","...1","speciesGr","mod","Model","Parameter","Estimate","StdErr","ProbT"
"599",258,"PRP","M3","PRP_M3","s2",0.16126453054152,NA,3.178399734e-113
"600",259,"PRP","M3","PRP_M3","s2u_t",0.02553462293626,NA,1.655420292e-05
"601",260,"PRU","M3","PRU_M3","b0",-2.2862794725747,NA,2.19620016752e-07
"602",261,"PRU","M3","PRU_M3","b1",0.77734639436095,NA,0
"603",NA,"PRU",NA,NA,"b1_u",0,NA,NA
"604",262,"PRU","M3","PRU_M3","b2",-0.0253300248822,NA,1.657208784e-164
"605",NA,"PRU",NA,NA,"b2_2",0,NA,NA
"606",NA,"PRU",NA,NA,"b3",0,NA,NA
"607",NA,"PRU",NA,NA,"b3_2",0,NA,NA
"608",263,"PRU","M3","PRU_M3","b4",-0.010006332777,NA,4.2084110526e-32
"609",NA,"PRU",NA,NA,"b4_2",0,NA,NA
"610",NA,"PRU",NA,NA,"b4_3",0,NA,NA
"611",264,"PRU","M3","PRU_M3","b5",0.00051807540144,NA,2.0481447813e-37
"612",NA,"PRU",NA,NA,"b6",0,NA,NA
"613",267,"PRU","M3","PRU_M3","c1",-0.0799509676893,NA,1.9993478323e-13
"614",NA,"PRU",NA,NA,"c1_2",0,NA,NA
"615",NA,"PRU",NA,NA,"c2",0,NA,NA
"616",NA,"PRU",NA,NA,"c2_2",0,NA,NA
"617",268,"PRU","M3","PRU_M3","c4",2.73655866674474,NA,1.77768115919e-08
"618",269,"PRU","M3","PRU_M3","c4_2",-0.6852700974107,NA,1.01527663637e-07
"619",265,"PRU","M3","PRU_M3","d1",-0.2684366483586,NA,2.5037660647e-13
"620",NA,"PRU",NA,NA,"d3",0,NA,NA
"621",266,"PRU","M3","PRU_M3","d4",-0.213547754864,NA,9.57259373728e-09
"622",NA,"PRU",NA,NA,"f1",0,NA,NA
"623",270,"PRU","M3","PRU_M3","s2",0.06602590924468,NA,1.070485986e-297
"624",271,"PRU","M3","PRU_M3","s2u_t",0.1136994908258,NA,2.156396252e-145
"625",272,"SAB","M3","SAB_M3","b0",-4.3773181431257,NA,0
"626",273,"SAB","M3","SAB_M3","b1",0.62963739025233,NA,0
"627",NA,"SAB",NA,NA,"b1_u",0,NA,NA
"628",274,"SAB","M3","SAB_M3","b2",-0.0162973647397,NA,0
"629",NA,"SAB",NA,NA,"b2_2",0,NA,NA
"630",275,"SAB","M3","SAB_M3","b3",-0.0638341615097,NA,0
"631",276,"SAB","M3","SAB_M3","b3_2",1.32166522526104,NA,0
"632",277,"SAB","M3","SAB_M3","b4",-0.0044181419493,NA,1.7866071039e-40
"633",NA,"SAB",NA,NA,"b4_2",0,NA,NA
"634",278,"SAB","M3","SAB_M3","b4_3",-0.1468108014986,NA,0
"635",NA,"SAB",NA,NA,"b5",0,NA,NA
"636",NA,"SAB",NA,NA,"b6",0,NA,NA
"637",NA,"SAB",NA,NA,"c1",0,NA,NA
"638",NA,"SAB",NA,NA,"c1_2",0,NA,NA
"639",283,"SAB","M3","SAB_M3","c2",0.02947003855519,NA,0
"640",NA,"SAB",NA,NA,"c2_2",0,NA,NA
"641",284,"SAB","M3","SAB_M3","c4",2.47730852584696,NA,0
"642",285,"SAB","M3","SAB_M3","c4_2",-0.7385367553811,NA,0
"643",279,"SAB","M3","SAB_M3","d1",-0.1343270196132,NA,1.9157391492e-18
"644",280,"SAB","M3","SAB_M3","d3",-0.0511672578448,NA,7.0772914203e-50
"645",281,"SAB","M3","SAB_M3","d4",-0.2222621328262,NA,0
"646",282,"SAB","M3","SAB_M3","f1",-0.0449488532486,NA,0
"647",286,"SAB","M3","SAB_M3","s2",0.05255723715423,NA,0
"648",287,"SAB","M3","SAB_M3","s2u_t",0.10992265369503,NA,0
"649",288,"THO","M3","THO_M3","b0",0.72695953768843,NA,3.6850179845e-13
"650",NA,"THO",NA,NA,"b1",0,NA,NA
"651",289,"THO","M3","THO_M3","b1_u",0.072189893624,NA,0
"652",290,"THO","M3","THO_M3","b2",-0.0213626325909,NA,9.337180907e-285
"653",NA,"THO",NA,NA,"b2_2",0,NA,NA
"654",291,"THO","M3","THO_M3","b3",-0.0036566323372,NA,1.43591682246e-09
"655",NA,"THO",NA,NA,"b3_2",0,NA,NA
"656",292,"THO","M3","THO_M3","b4",-0.0128103078509,NA,3.8599092196e-48
"657",293,"THO","M3","THO_M3","b4_2",0.000151434909,NA,3.4268030834e-14
"658",NA,"THO",NA,NA,"b4_3",0,NA,NA
"659",294,"THO","M3","THO_M3","b5",0.00059392684982,NA,6.6694296242e-83
"660",NA,"THO",NA,NA,"b6",0,NA,NA
"661",295,"THO","M3","THO_M3","c1",0.1464344484453,NA,2.00433022404e-06
"662",296,"THO","M3","THO_M3","c1_2",-0.0092281899971,NA,0.00016566361544
"663",NA,"THO",NA,NA,"c2",0,NA,NA
"664",NA,"THO",NA,NA,"c2_2",0,NA,NA
"665",297,"THO","M3","THO_M3","c4",-0.3812659356363,NA,3.684213895e-66
"666",NA,"THO",NA,NA,"c4_2",0,NA,NA
"667",NA,"THO",NA,NA,"d1",0,NA,NA
"668",NA,"THO",NA,NA,"d3",0,NA,NA
"669",NA,"THO",NA,NA,"d4",0,NA,NA
"670",NA,"THO",NA,NA,"f1",0,NA,NA
"671",298,"THO","M3","THO_M3","s2",0.0574642749555,NA,0
"672",299,"THO","M3","THO_M3","s2u_t",0.11969173191025,NA,0
"673",300,"TIL","M2","TIL_M2","b0",0.41100636859995,NA,4.9978360085e-13
"674",NA,"TIL",NA,NA,"b1",0,NA,NA
"675",301,"TIL","M2","TIL_M2","b1_u",0.07273177788052,NA,6.3647056383e-77
"676",302,"TIL","M2","TIL_M2","b2",-0.0200695463772,NA,2.5870091173e-31
"677",NA,"TIL",NA,NA,"b2_2",0,NA,NA
"678",303,"TIL","M2","TIL_M2","b3",0.01352772306669,NA,7.1864387003e-10
"679",NA,"TIL",NA,NA,"b3_2",0,NA,NA
"680",304,"TIL","M2","TIL_M2","b4",-0.0208301021781,NA,3.2451122134e-13
"681",NA,"TIL",NA,NA,"b4_2",0,NA,NA
"682",NA,"TIL",NA,NA,"b4_3",0,NA,NA
"683",NA,"TIL",NA,NA,"b5",0,NA,NA
"684",NA,"TIL",NA,NA,"b6",0,NA,NA
"685",NA,"TIL",NA,NA,"c1",0,NA,NA
"686",NA,"TIL",NA,NA,"c1_2",0,NA,NA
"687",NA,"TIL",NA,NA,"c2",0,NA,NA
"688",NA,"TIL",NA,NA,"c2_2",0,NA,NA
"689",NA,"TIL",NA,NA,"c4",0,NA,NA
"690",NA,"TIL",NA,NA,"c4_2",0,NA,NA
"691",NA,"TIL",NA,NA,"d1",0,NA,NA
"692",305,"TIL","M2","TIL_M2","d3",0.19176261682613,NA,0.00211252870595
"693",NA,"TIL",NA,NA,"d4",0,NA,NA
"694",NA,"TIL",NA,NA,"f1",0,NA,NA
"695",306,"TIL","M2","TIL_M2","s2",0.10804491671327,NA,2.0707779533e-92
"696",307,"TIL","M2","TIL_M2","s2u_t",0.19795185354943,NA,8.6402040104e-47
